City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Krasnyy Chikoy,RU,2021-06-01 06:52:54,50.3643,108.7512,45.23,77,100,15.7
251,Coquimbo,CL,2021-06-01 06:49:49,-29.9533,-71.3436,53.33,87,0,4.92
252,Acarau,BR,2021-06-01 06:52:54,-2.8856,-40.12,75.61,89,5,9.51
253,Saint Anthony,US,2021-06-01 06:52:55,45.0205,-93.218,59.14,75,1,1.9
254,Lasa,IT,2021-06-01 06:52:55,46.6166,10.7002,55.36,63,0,1.63
255,Kapoeta,SS,2021-06-01 06:52:56,4.7717,33.5903,87.03,37,10,23.69
256,Boyolangu,ID,2021-06-01 06:52:56,-8.1181,111.8935,84.06,66,35,7.81
257,Cabo San Lucas,MX,2021-06-01 06:48:45,22.8909,-109.9124,78.4,61,4,10.58
258,Vardo,NO,2021-06-01 06:52:57,70.3705,31.1107,44.8,93,75,2.3
259,Yevsino,RU,2021-06-01 06:52:57,54.4172,83.3222,79.16,38,67,6.53
260,Pakokku,MM,2021-06-01 06:52:58,21.3333,95.1,103.17,29,12,11.72
261,Nichinan,JP,2021-06-01 06:52:58,31.6,131.3667,86.95,61,0,8.61
262,Cicciano,IT,2021-06-01 06:52:58,40.9647,14.5389,69.71,47,4,1.01
263,La Ronge,CA,2021-06-01 06:52:59,55.1001,-105.2842,55.65,71,75,1.14
264,Georgetown,MY,2021-06-01 06:52:59,5.4112,100.3354,91.35,66,40,10.0
265,Dracena,BR,2021-06-01 06:52:59,-21.4843,-51.535,61.52,93,100,4.12
266,Jaque,PA,2021-06-01 06:53:00,7.5175,-78.1703,77.97,89,100,4.36
267,Oistins,BB,2021-06-01 06:53:00,13.0667,-59.5333,78.89,65,40,16.11
268,Praia,CV,2021-06-01 06:53:01,14.9215,-23.5087,70.34,83,20,9.22
269,Abu Samrah,SY,2021-06-01 06:53:01,35.3029,37.1841,80.33,28,0,22.32
270,Poronaysk,RU,2021-06-01 06:53:02,49.2167,143.1167,47.28,73,13,12.06
271,Mehran,IR,2021-06-01 06:53:02,33.1222,46.1646,101.68,6,0,22.91
272,Slave Lake,CA,2021-06-01 06:53:02,55.2834,-114.769,66.18,52,40,3.44
273,Kiruna,SE,2021-06-01 06:53:03,67.8557,20.2251,50.92,62,99,3.44
274,Tual,ID,2021-06-01 06:53:04,-5.6667,132.75,81.97,78,78,15.26
275,Oyama,JP,2021-06-01 06:53:04,36.3,139.8,79.59,34,100,7.43
276,Oksfjord,NO,2021-06-01 06:53:05,70.2396,22.3479,50.07,89,100,4.43
277,Ambon,ID,2021-06-01 06:53:05,-3.6954,128.1814,86.14,70,40,14.27
278,Luderitz,NA,2021-06-01 06:53:05,-26.6481,15.1594,57.94,54,0,13.09
279,Labuan,MY,2021-06-01 06:53:06,5.2767,115.2417,88.16,74,20,2.3
280,Sembakung,ID,2021-06-01 06:53:06,3.8167,117.25,89.53,69,82,1.95
281,Hasaki,JP,2021-06-01 06:53:07,35.7333,140.8333,77.29,65,4,8.93
282,Tasiilaq,GL,2021-06-01 06:53:07,65.6145,-37.6368,27.23,78,8,5.1
283,Benton Harbor,US,2021-06-01 06:53:08,42.1167,-86.4542,58.01,69,45,6.82
284,Qasigiannguit,GL,2021-06-01 06:53:08,68.8193,-51.1922,30.38,88,25,0.43
285,Zhangjiakou,CN,2021-06-01 06:53:09,40.81,114.8794,79.9,19,40,11.9
286,Cherskiy,RU,2021-06-01 06:53:09,68.75,161.3,67.24,21,94,6.51
287,Timmins,CA,2021-06-01 06:49:53,48.4669,-81.3331,51.62,93,90,4.85
288,Gizel,RU,2021-06-01 06:53:10,43.04,44.5708,73.62,60,75,5.23
289,Campo Verde,BR,2021-06-01 06:53:10,-20.4167,-54.0667,67.21,97,100,2.95
290,Capoterra,IT,2021-06-01 06:53:11,39.1763,8.9718,69.58,74,0,6.33
291,Bosorod,RO,2021-06-01 06:53:11,45.6833,23.0833,49.96,95,100,5.79
